frame,x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6,x_7,y_7,x_8,y_8,x_9,y_9,x_10,y_10,x_11,y_11,x_12,y_12,x_13,y_13,x_14,y_14,x_15,y_15,x_16,y_16
66,939.9377,266.18585,947.59424,253.90388,929.04144,252.60974,946.2173,263.50406,893.5613,259.4081,954.86554,343.62177,829.69965,340.83673,965.87476,458.09546,789.28845,458.85892,932.1636,548.6149,849.89996,545.8716,918.40045,545.9135,825.98126,546.97406,950.1592,713.25916,794.5756,718.46826,965.8563,880.78033,759.328,886.0939
67,945.47723,261.70605,953.47614,248.9219,932.8731,247.27231,947.8841,259.51044,892.0261,255.9625,953.0642,344.02844,825.53894,341.5428,962.72614,466.53113,786.19653,463.16382,934.5914,551.50433,855.8995,543.25635,919.3356,545.4708,823.8417,547.223,951.0674,715.97217,796.44086,721.1086,967.8596,883.85474,763.0364,889.48267
68,931.16223,271.16483,941.15393,258.9146,920.2064,256.65665,942.1595,267.25204,887.83875,262.48306,952.69025,346.2473,824.9086,344.04785,965.6882,465.33878,785.7166,464.11307,937.2151,549.64325,856.37555,542.25494,917.15045,546.4051,821.56824,548.0257,952.3063,711.4261,794.5903,717.978,967.0569,882.1094,760.5803,892.08417
69,933.0615,275.4027,942.3291,262.77823,920.9601,260.7408,941.6327,270.49292,884.6833,266.16504,950.83466,349.85504,822.3518,346.8631,964.2765,468.61743,786.2939,464.48987,938.3917,550.2362,853.53076,542.1317,918.40814,552.31934,822.102,553.85016,954.0705,714.9075,794.9502,721.2484,968.40564,882.3846,759.9139,892.0868
70,936.7685,273.0118,945.7202,259.52994,923.2553,258.47177,944.6119,268.43182,884.9824,266.4213,954.1179,351.4076,823.2613,350.45645,965.6724,470.11517,789.5592,470.5807,942.5058,558.7806,859.5888,557.00903,921.83734,559.71204,823.26544,561.6028,957.5201,716.87305,793.2906,720.33636,976.50494,889.1129,758.57056,892.02814
71,934.0397,273.25946,943.698,259.48117,920.02997,259.665,948.6614,269.54846,883.84924,268.8445,957.948,354.18457,826.47217,351.1379,967.48096,470.988,787.52875,467.61035,940.37646,558.6814,845.8887,551.1852,919.0362,555.55615,821.53534,556.297,955.60767,710.38275,790.8749,712.1569,976.0899,886.1453,759.5093,885.35693
72,946.96735,292.13022,952.5378,278.71042,935.5172,277.95932,944.21436,282.968,896.26306,281.78412,953.873,355.92242,830.74774,357.0457,968.9828,480.3329,789.8295,478.94037,940.51996,560.2524,845.8979,537.56177,922.9225,549.74414,829.56335,552.3188,953.4961,711.3477,795.4929,716.9942,971.46844,885.958,759.9755,891.08777
73,950.9631,287.68387,955.9926,275.08633,940.8966,273.95398,944.3859,284.65268,901.414,282.28683,948.4994,362.87137,830.7477,362.7292,963.29083,493.40753,795.99194,492.02545,934.9171,575.7215,859.08075,562.09766,909.41125,556.3621,818.6748,559.2472,950.1149,711.8835,792.5787,720.3849,974.7222,881.9326,756.97687,892.35846
74,941.3928,302.0009,949.0815,288.38058,928.46216,288.09723,945.9449,297.16388,888.8597,296.9752,950.2433,374.82257,827.87805,377.20737,961.7963,501.76245,802.6046,506.974,938.7796,589.9206,864.1108,580.42645,913.1889,562.6392,818.29877,566.3203,960.8461,701.52136,795.1376,709.3798,978.3915,883.7333,760.93115,895.4184
75,938.67444,303.69202,948.06415,290.3122,924.726,290.48523,951.25946,300.02365,885.7892,300.69717,951.4516,378.2007,831.7079,382.23706,965.30493,501.0651,816.3228,515.3119,940.52106,589.88135,876.3957,598.67816,902.1546,561.3093,808.1433,564.79285,957.67773,696.1794,792.69696,707.356,964.2393,870.57733,750.90424,890.92474
76,948.17377,314.25366,950.51294,302.60468,936.00995,303.8504,945.52795,315.9244,894.80774,317.68344,950.31854,386.56824,834.84875,388.13333,961.6992,504.47397,828.6929,514.12866,933.81323,598.03217,878.86743,602.7347,906.02844,550.04535,815.486,552.35596,956.7882,693.1822,784.88635,699.92883,964.18854,865.2862,738.7868,873.80695
